Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
1007.658346469,335.88611548899996,1007.663058798,5475.004097633,335.887686266,1825.001365877,335.85766923413536,331.470065319,342.06522562500004,30.387340090131957,5.512471323293388,10.717868344685453,1.9726012633804408
Options Summary,
Query Endpoint,http://opoce.mondeca.com:5820/opoceProd/query
Update Endpoint,null
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,60s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,5
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,303.350343371,303.352231513,0.007137413,60.000196611999996
2,331.468455764,331.470065319,0.010131788000000001,60.000189835
3,334.126181618,334.12776785399996,0.011185981999999999,60.000347579
4,342.063709087,342.06522562500004,0.0054700470000000005,60.000213242
5,382.81947865,382.821276447,0.00734284,60.000169606
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q1.rq,Remote SPARQL Query,13.57166201,0.590072261,13.57166201,22.06679784,0.590072261,0.959425993,7.02876353249543E7,0.017188065000000002,5.738996428,2.3151686124778212,1.5215678139596085,1.6947076927583282,1.042289876755507,6100.947693929981,3752.2435563198255
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q2.rq,Remote SPARQL Query,10.657454494,0.463367586,10.657454494,16.656137978,0.463367586,0.724179912,5.4928878132157445E7,0.019516646000000002,5.407502655999999,1.7401405627579554,1.3191438749272026,2.158113839236049,1.3808723266546505,7769.209821249776,4971.140375956742
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q3.rq,Remote SPARQL Query,1380.0035488489998,60.000154297,1380.0035488489998,1483.316984261,60.000154297,64.492042793,6.000015429777854E10,60.000125399,60.000224896,4.873366764650374E-10,2.2075703306237773E-5,0.01666662380649911,0.015505788880183224,59.99984570339679,55.820839968659605
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q4.rq,Remote SPARQL Query,15.244470634999999,0.662803071,15.244470634999999,41.967552591,0.662803071,1.824676199,5.0100844143464E7,0.014976426999999999,8.209600031,3.9422314605850866,1.9855053413640282,1.508743763801903,0.5480424420223393,5431.477549686851,1972.9527912804215
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q5.rq,Remote SPARQL Query,18.903299974000003,0.821882607,18.908318746,28.246814269999998,0.822100815,1.2281223589999999,2.7999940283921796E8,0.141631082,7.36171432,3.226965689809982,1.7963757095357256,1.2163958261007197,0.8142511148598021,4379.0249739625915,2931.3040134952876
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q6.rq,Remote SPARQL Query,1.757697772,0.07642164200000001,1.762639206,7.593809039,0.076636487,0.33016561,1.8604976898033082E7,0.010812132,1.415901306,0.08525124632417597,0.2919781606972959,13.048614819726795,3.0287830401234097,46975.01335101647,10903.618944444275
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q7.rq,Remote SPARQL Query,17.215380917999997,0.748494822,17.222637025,33.096484035,0.748810305,1.438977566,4.63845304478982E7,0.011185981999999999,8.396778594999999,4.118891975394943,2.0295053523937656,1.3354517069580125,0.6949378667380837,4807.6261450488455,2501.7763202571014
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q8.rq,Remote SPARQL Query,7.958782234999999,0.34603401,7.965115186,11.621639396,0.346309355,0.505288669,2.169084960735861E8,0.11885382300000001,3.028143074,0.3761134866158143,0.6132809198204476,2.8875916447593513,1.9790667421437862,10395.329921133663,7124.640271717631
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q9.rq,Remote SPARQL Query,4.401789765,0.191382163,4.407089286000001,10.376243076000002,0.19161257699999998,0.451141003,3.2142004443688877E7,0.008905542,2.46756367,0.2963361624016905,0.544367672076227,5.2188641041031465,2.216601890207705,18787.910774771328,7979.766804747739
/home/mondeca/bench/sparql-query-bm-2.1.0/cmd/queries/group1/q10.rq,Remote SPARQL Query,1380.00370147,60.000160933,1380.00370147,1425.7971024150002,60.000160933,61.991178365,6.00001609334738E10,60.00013440399999,60.000213242,5.52079231553899E-10,2.349636634788237E-5,0.016666621963175463,0.01613132749489073,59.99983906743166,58.07277898160663
