duration cat1 q1:  916 ms
duration cat1 q2: 900 ms
duration cat1 q3: 6359 ms
duration cat1 q6: 853 ms
duration cat1 q8: 1439 ms
duration cat1 q9: 1289 ms
duration cat1 q10: 93502 ms
duration cat1 q16: 223328 ms
duration cat1 q17: 898 ms
duration cat1 q1:  899 ms
duration cat1 q2: 905 ms
duration cat1 q3: 6155 ms
duration cat1 q6: 867 ms
duration cat1 q8: 1516 ms
duration cat1 q9: 1300 ms
duration cat1 q10: 91618 ms
duration cat1 q16: 221699 ms
duration cat1 q17: 889 ms
duration cat1 q1:  920 ms
duration cat1 q2: 900 ms
duration cat1 q3: 6268 ms
duration cat1 q6: 862 ms
duration cat1 q8: 1441 ms
duration cat1 q9: 1290 ms
duration cat1 q10: 92137 ms
duration cat1 q16: 220737 ms
duration cat1 q17: 894 ms
duration cat1 q1:  908 ms
duration cat1 q2: 916 ms
duration cat1 q3: 6399 ms
duration cat1 q6: 860 ms
duration cat1 q8: 1442 ms
duration cat1 q9: 1289 ms
duration cat1 q10: 91345 ms
duration cat1 q16: 220182 ms
duration cat1 q17: 903 ms
duration cat1 q1:  914 ms
duration cat1 q2: 908 ms
duration cat1 q3: 5930 ms
duration cat1 q6: 857 ms
duration cat1 q8: 1441 ms
duration cat1 q9: 1311 ms
duration cat1 q10: 91282 ms
duration cat1 q16: 221213 ms
duration cat1 q17: 906 ms
